run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
regionft_d10-GBDT-Bank-age-d5000000-4,Bank,GBDT,age,regionft_d10,4,2789190,5000000,1,32768,938498,2363889,2631713,11.9523,11.9557,11.9458,11.9529,11.9468,11.951,11.9449,11.9485,459.96,459.95,185.38,185.37,274.58,274.58,878
regionft_random-GBDT-Bank-age-d5000000-0,Bank,GBDT,age,regionft_random,0,1273170,5000000,1,32722,684807,1180662,1243057,11.9624,11.9259,11.9425,11.9501,11.9446,11.9472,11.9497,11.9496,326.03,326.03,68.13,68.13,257.9,257.91,1024
regionft_random-GBDT-Bank-age-d5000000-1,Bank,GBDT,age,regionft_random,1,1242855,5000000,1,32715,672929,1156717,1214325,11.952,11.9282,11.9496,11.9478,11.9505,11.9512,11.9467,11.9509,290.86,290.85,61.73,61.73,229.12,229.13,1024
regionft_random-GBDT-Bank-age-d5000000-2,Bank,GBDT,age,regionft_random,2,1257871,5000000,1,32716,673542,1167806,1228629,11.9662,11.9587,11.9437,11.9543,11.9448,11.9427,11.9452,11.9431,334.85,334.84,70.11,70.1,264.74,264.74,1024
regionft_random-GBDT-Bank-age-d5000000-3,Bank,GBDT,age,regionft_random,3,1361533,5000000,1,32721,705126,1251077,1326246,11.968,11.939,11.9466,11.9409,11.9515,11.9485,11.9474,11.9468,290.89,290.87,60.06,60.05,230.83,230.82,1024
regionft_random-GBDT-Bank-age-d5000000-4,Bank,GBDT,age,regionft_random,4,1253374,5000000,1,32710,680705,1166248,1224451,11.9211,11.9581,11.9481,11.9371,11.9426,11.9431,11.9446,11.9463,325.56,325.55,67.42,67.41,258.14,258.13,1024
regionft_d10-MLP-Adult-sex-d5000000-0,Adult,MLP,sex,regionft_d10,0,203414,5000000,1,2889,96626,188309,201508,11.4643,11.4598,11.4483,11.4514,11.4515,11.4502,11.4516,11.4496,189.5,189.48,93.98,93.97,95.52,95.51,946
regionft_d10-MLP-Adult-sex-d5000000-1,Adult,MLP,sex,regionft_d10,1,195638,5000000,1,2920,93277,181046,193664,11.4485,11.4453,11.4454,11.4445,11.4469,11.4435,11.4449,11.4464,205.24,205.24,106.94,106.94,98.3,98.3,982
regionft_d10-MLP-Adult-sex-d5000000-2,Adult,MLP,sex,regionft_d10,2,191138,5000000,1,2848,94998,178147,189489,11.4568,11.4511,11.4591,11.4536,11.4542,11.4557,11.4525,11.4552,183.46,183.46,85.97,85.97,97.49,97.49,881
regionft_d10-MLP-Adult-sex-d5000000-3,Adult,MLP,sex,regionft_d10,3,207351,5000000,1,2855,96413,190646,205161,11.4544,11.4417,11.4476,11.4424,11.4387,11.4394,11.4437,11.4404,198.92,198.92,101.51,101.51,97.41,97.41,1010
regionft_d10-MLP-Adult-sex-d5000000-4,Adult,MLP,sex,regionft_d10,4,207508,5000000,1,2825,96023,190533,205255,11.4327,11.4476,11.435,11.445,11.4392,11.4441,11.4434,11.4437,196.31,196.3,100.85,100.85,95.46,95.46,990
regionft_random-MLP-Adult-sex-d5000000-0,Adult,MLP,sex,regionft_random,0,72227,5000000,1,2824,51796,69849,71979,11.4416,11.4642,11.4454,11.4464,11.4502,11.4492,11.4521,11.4513,111.26,111.24,25.96,25.96,85.29,85.28,1024
regionft_random-MLP-Adult-sex-d5000000-1,Adult,MLP,sex,regionft_random,1,63309,5000000,1,2809,48720,61915,63150,11.4767,11.4719,11.4865,11.4779,11.4807,11.4801,11.4795,11.4791,110.01,109.99,27.35,27.35,82.66,82.65,1024
