dataset,model,protected,alpha,repeats,n_idi,n_test,cov2,cov3,cov4,cov5,n_regions,partition_cpu,generation_cpu,real_time,cpu_time
Credit,GBDT,age,1.0,5,1247565.8,5000000.0,346050.8,1224521.4,1246816.6,1247384.6,1002.6,168.484,219.712,388.214,388.194
Credit,GBDT,age,2.0,5,1609350.6,5000000.0,327745.0,1546812.2,1607249.2,1608842.4,1002.6,170.262,220.824,391.104,391.084
Credit,GBDT,age,4.0,5,2191065.2,5000000.0,263070.4,1939832.0,2180760.8,2188572.8,1002.6,169.416,221.562,390.99,390.978
Credit,GBDT,age,8.0,5,2798504.2,5000000.0,161427.0,1960749.2,2743245.6,2784483.8,1002.6,166.206,223.796,390.014,390.006
Credit,GBDT,age,10.0,5,2948348.0,5000000.0,132829.4,1841747.2,2859394.2,2925176.8,1002.6,165.806,225.228,391.054,391.034
Credit,MLP,sex,0.0,5,226986.0,5000000.0,141095.8,226459.4,226978.0,226984.0,935.6,86.938,83.714,170.658,170.65
Credit,MLP,sex,0.1,5,307607.6,5000000.0,167864.0,306632.6,307591.2,307604.2,935.6,87.768,85.002,172.77,172.768
Credit,MLP,sex,0.25,5,391735.6,5000000.0,189403.2,390066.8,391712.6,391729.2,935.6,88.136,84.544,172.69,172.682
Credit,MLP,sex,0.5,5,461426.6,5000000.0,203239.0,459016.2,461389.2,461417.0,935.6,86.012,84.036,170.05,170.048
Credit,MLP,sex,0.75,5,497820.4,5000000.0,209275.0,494927.2,497775.4,497808.2,935.6,86.478,85.858,172.34,172.338
Credit,MLP,sex,1.0,5,523876.2,5000000.0,213277.2,520563.0,523824.0,523864.0,935.6,85.832,83.882,169.72,169.714
Credit,MLP,sex,2.0,5,590780.2,5000000.0,221455.6,585849.4,590707.0,590761.6,935.6,88.328,86.188,174.52,174.516
Credit,MLP,sex,4.0,5,686973.4,5000000.0,224414.6,676441.8,686795.2,686926.2,935.6,87.692,86.016,173.712,173.706
Credit,MLP,sex,8.0,5,879066.8,5000000.0,193331.2,824423.4,877511.6,878577.6,935.6,86.47,84.772,171.244,171.24
Credit,MLP,sex,10.0,5,965464.2,5000000.0,166889.8,862429.8,961351.2,964071.2,935.6,81.426,79.056,160.488,160.488
Credit,MLP,age,0.0,5,423032.2,5000000.0,182588.0,420213.0,422963.0,423016.6,989.4,142.648,202.974,345.626,345.622
Credit,MLP,age,0.1,5,587146.8,5000000.0,206414.8,581614.6,587002.8,587118.8,989.4,144.184,206.966,351.164,351.148
Credit,MLP,age,0.25,5,788917.2,5000000.0,224710.8,778632.6,788638.8,788854.6,989.4,143.844,210.028,353.874,353.872
Credit,MLP,age,0.5,5,1016751.8,5000000.0,234954.0,999193.8,1016270.6,1016640.6,989.4,141.724,205.992,347.728,347.718
Credit,MLP,age,0.75,5,1171964.6,5000000.0,237155.8,1147721.8,1171250.6,1171806.4,989.4,143.842,212.806,356.66,356.648
Credit,MLP,age,1.0,5,1291029.8,5000000.0,236407.0,1260573.0,1290068.8,1290809.8,989.4,143.528,211.714,355.254,355.244
Credit,MLP,age,2.0,5,1596027.6,5000000.0,227015.4,1543395.8,1594097.0,1595574.4,989.4,142.372,210.634,353.014,353.004
Credit,MLP,age,4.0,5,1908928.6,5000000.0,206234.0,1812317.2,1904053.6,1907828.2,989.4,144.058,213.294,357.368,357.354
Credit,MLP,age,8.0,5,2235442.8,5000000.0,169752.6,2001332.8,2216365.8,2231567.4,989.4,136.064,200.512,336.588,336.574
Credit,MLP,age,10.0,5,2347667.0,5000000.0,153201.4,2014373.0,2315735.8,2341199.8,989.4,131.392,192.414,323.832,323.814
Credit,LogReg,sex,0.0,5,255466.2,5000000.0,157657.4,254764.6,255454.4,255463.0,1001.2,94.326,75.768,170.1,170.092
Credit,LogReg,sex,0.1,5,298404.8,5000000.0,172211.6,297464.4,298390.2,298400.6,1001.2,96.148,76.488,172.644,172.636
Credit,LogReg,sex,0.25,5,347228.2,5000000.0,186617.6,345926.6,347208.6,347222.4,1001.2,96.05,77.032,173.088,173.084
Credit,LogReg,sex,0.5,5,399784.2,5000000.0,199715.6,398051.6,399751.4,399776.0,1001.2,93.992,76.362,170.364,170.356
Credit,LogReg,sex,0.75,5,432965.0,5000000.0,206717.0,430936.8,432928.8,432956.2,1001.2,94.742,76.838,171.586,171.58
Credit,LogReg,sex,1.0,5,455074.2,5000000.0,210982.0,452767.6,455036.0,455064.6,1001.2,94.354,77.86,172.224,172.214
Credit,LogReg,sex,2.0,5,500443.8,5000000.0,218922.6,497540.4,500393.2,500429.0,1001.2,94.298,77.08,171.38,171.38
Credit,LogReg,sex,4.0,5,538910.2,5000000.0,224645.2,534990.6,538828.2,538889.0,1001.2,96.53,78.514,175.048,175.044
Credit,LogReg,sex,8.0,5,591837.2,5000000.0,219788.8,583490.4,591590.6,591767.6,1001.2,95.496,78.858,174.36,174.358
Credit,LogReg,sex,10.0,5,615497.2,5000000.0,209939.6,601783.2,615024.0,615345.0,1001.2,93.694,76.196,169.896,169.89
Credit,LogReg,age,0.0,5,600620.4,5000000.0,246636.2,595258.4,600501.8,600590.6,990.4,140.506,181.16,321.672,321.668
Credit,LogReg,age,0.1,5,710676.4,5000000.0,262228.4,703122.0,710506.0,710627.8,990.4,140.168,180.756,320.934,320.926
Credit,LogReg,age,0.25,5,838306.6,5000000.0,276313.2,827744.0,838082.8,838246.0,990.4,140.67,184.004,324.678,324.676
Credit,LogReg,age,0.5,5,983366.2,5000000.0,288063.4,968543.6,983042.0,983282.8,990.4,142.318,189.42,331.744,331.736
Credit,LogReg,age,0.75,5,1075716.2,5000000.0,294076.8,1058000.0,1075335.2,1075611.8,990.4,144.194,190.236,334.44,334.43
Credit,LogReg,age,1.0,5,1136746.0,5000000.0,296985.0,1116531.8,1136297.4,1136637.4,990.4,143.468,186.568,330.05,330.04
Credit,LogReg,age,2.0,5,1260403.0,5000000.0,302143.2,1234078.8,1259810.2,1260253.2,990.4,141.296,192.706,334.014,334.002
