dataset,model,protected,max_depth,repeats,n_idi,n_test,cov2,cov3,cov4,cov5,n_regions,partition_cpu,generation_cpu,real_time,cpu_time
Lsac,MLP,sex,12,5,179481.4,5000000.0,1017.8,23804.4,102809.0,155356.0,3823.6,373.92,76.168,450.094,450.09
Lsac,MLP,race,2,5,300274.2,5000000.0,1021.6,17486.2,108757.2,221346.8,4.0,1.428,91.8,93.23,93.228
Lsac,MLP,race,4,5,345700.2,5000000.0,1022.6,17577.2,113933.0,245545.6,16.0,3.92,91.156,95.074,95.074
Lsac,MLP,race,6,5,380938.0,5000000.0,1021.6,17676.6,116554.2,261758.2,63.8,13.562,93.084,106.648,106.644
Lsac,MLP,race,8,5,421115.8,5000000.0,1021.0,17877.4,119021.4,278387.2,252.2,38.776,94.72,133.5,133.496
Lsac,MLP,race,10,5,470209.6,5000000.0,1021.4,18059.6,121472.4,295790.6,1000.6,123.978,93.43,217.412,217.408
Lsac,MLP,race,12,5,523160.8,5000000.0,1021.6,18226.8,124358.6,312841.2,3975.6,437.852,98.104,535.96,535.952
Lsac,LogReg,sex,2,5,98569.8,5000000.0,912.4,18661.0,65170.4,89836.8,4.0,1.11,63.178,64.286,64.286
Lsac,LogReg,sex,4,5,119554.2,5000000.0,915.4,19218.8,74492.4,107038.4,16.0,3.8,63.608,67.406,67.406
Lsac,LogReg,sex,6,5,134567.6,5000000.0,916.4,19452.8,79671.4,118743.4,62.2,10.47,64.934,75.408,75.406
Lsac,LogReg,sex,8,5,154410.0,5000000.0,918.0,19617.8,86038.2,133509.6,242.4,33.204,66.826,100.032,100.03
Lsac,LogReg,sex,10,5,184848.8,5000000.0,916.2,20000.8,93982.6,155461.2,933.0,105.428,66.974,172.404,172.398
Lsac,LogReg,sex,12,5,219685.4,5000000.0,921.8,20254.8,101210.2,178981.0,3542.2,351.256,69.978,421.246,421.232
Lsac,DecTree,sex,2,5,467278.6,5000000.0,952.0,17244.0,86684.8,233903.6,4.0,1.348,69.398,70.742,70.742
Lsac,DecTree,sex,4,5,1057282.8,5000000.0,946.8,17096.2,94818.8,306564.4,16.0,4.436,72.018,76.46,76.456
Lsac,DecTree,sex,6,5,2400044.4,5000000.0,925.8,17039.2,101353.0,397577.4,59.6,11.154,78.306,89.464,89.464
Lsac,DecTree,sex,8,5,3347239.4,5000000.0,944.0,17970.4,111736.6,456405.8,199.2,29.588,82.668,112.262,112.254
Lsac,DecTree,sex,10,5,4102049.4,5000000.0,948.2,18869.4,125449.6,508860.8,579.8,78.346,83.386,161.744,161.736
Lsac,DecTree,sex,12,5,4570556.6,5000000.0,949.8,19696.8,139176.6,556319.2,1535.2,187.476,85.92,273.406,273.396
Lsac,DecTree,race,2,5,624884.6,5000000.0,972.8,12519.6,77809.2,230223.6,4.0,1.18,82.79,83.97,83.97
Lsac,DecTree,race,4,5,1495849.8,5000000.0,970.0,12325.2,78539.2,252531.0,15.0,4.312,89.23,93.546,93.542
Lsac,DecTree,race,6,5,2738801.8,5000000.0,963.2,12235.0,79156.0,279046.8,46.4,11.134,98.088,109.226,109.222
Lsac,DecTree,race,8,5,3369693.8,5000000.0,959.0,12215.6,82275.2,314360.8,138.8,23.048,100.758,123.814,123.808
Lsac,DecTree,race,10,5,3974571.0,5000000.0,959.8,12289.0,86124.2,346301.8,407.4,58.172,105.838,164.022,164.01
Lsac,DecTree,race,12,5,4403208.0,5000000.0,965.2,12422.4,89584.2,372521.6,1120.0,148.946,106.28,255.236,255.228
