dataset,model,protected,method,repeats,n_idi,n_test,prec,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions,n_idi_std,cov2_std,cov3_std,cov4_std,cov5_std,div5000_std
Adult,MLP,race,aft,5,272134.4,1692734.0,0.160766,1.0,2943.0,86204.2,225693.0,263647.8,11.256,11.2234,11.2344,11.2367,11.2384,11.237,11.2369,11.2351,1200.29,1200.25,,,,,,13936.0545,10.9316,1152.3401,6322.2626,12164.2098,0.0079
Adult,MLP,race,expga,5,291027.4,836134.4,0.348063,1.0,1250.4,27024.4,75230.4,138413.6,10.6472,10.6549,10.6432,10.6456,10.6451,10.6476,10.6446,10.6485,1200.08,1200.01,,,,,,21596.9907,50.5549,1128.2324,1562.6306,7474.4268,0.014
Adult,MLP,race,grft,5,6371477.4,22862716.2,0.278684,1.0,773.6,10970.2,55917.6,154008.0,9.3707,9.409,9.3461,9.3591,9.3757,9.3779,9.3726,9.3765,1224.14,1223.63,,,,,,714911.0293,109.3632,2034.6095,13406.08,35999.4646,0.2558
Adult,MLP,race,limi,5,80207.0,377192.0,0.212642,1.0,232.0,1526.0,3889.0,7011.0,7.402,7.2206,7.3566,7.3152,7.2596,7.2739,7.292,7.2875,550.82,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult,MLP,race,sg,5,2811.8,6862.8,0.409716,1.0,164.4,414.6,626.8,816.0,7.7149,7.7037,7.6927,7.7233,7.7217,7.7112,7.7107,7.7107,1200.1,1200.11,,,,,,63.3064,5.6391,51.4568,58.4098,79.9312,0.4527
Adult,MLP,race,regionft,5,2705399.2,29969996.2,0.09027,1.0,3062.8,182599.4,1346691.2,2327600.4,11.4652,11.4613,11.4657,11.4672,11.467,11.4668,11.4672,11.4676,1200.01,1200.01,133.32,133.32,1066.69,1066.69,990.2,59739.0737,4.6583,1200.4559,22280.6242,47383.6761,0.0018
Adult,MLP,age,aft,5,2041606.0,2162915.0,0.943914,1.0,2644.6,81655.0,372071.2,717308.2,10.9471,10.8894,10.9022,10.931,10.9234,10.9211,10.9214,10.9236,1203.47,1203.39,,,,,,270583.1445,302.8519,21935.3253,166747.8587,320750.4948,0.2705
Adult,MLP,age,expga,5,403724.4,574539.8,0.702692,1.0,1459.8,30926.6,123356.0,274839.0,10.6831,10.6744,10.6836,10.6848,10.6853,10.6861,10.6853,10.6852,1200.1,1200.06,,,,,,2639.4758,112.5553,760.5848,2434.0098,1706.516,0.0095
Adult,MLP,age,grft,5,4429053.8,15304175.6,0.289402,1.0,605.8,6970.0,32698.0,90051.6,9.2668,9.2523,9.2635,9.2588,9.264,9.2449,9.2505,9.2499,1220.58,1220.17,,,,,,474913.9675,42.7458,836.3516,6748.8473,21540.0609,0.2296
Adult,MLP,age,limi,5,141343.0,296288.0,0.477046,1.0,269.0,1902.0,4967.0,10038.0,7.2531,7.3333,7.3622,7.3534,7.3691,7.3605,7.3664,7.368,631.87,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult,MLP,age,sg,5,5685.8,7460.2,0.762151,1.0,235.0,809.8,1348.2,1819.4,7.99,7.9729,7.9869,7.9987,7.9937,7.9925,7.9927,7.9886,1200.08,1200.08,,,,,,190.4408,37.4633,82.5633,86.3059,178.2212,0.2458
Adult,MLP,age,regionft,5,7852780.2,16475136.4,0.476644,1.0,3098.8,203014.2,2285114.2,6183872.2,11.4997,11.5038,11.4998,11.5025,11.5011,11.5012,11.5013,11.5013,1201.74,1201.71,196.77,196.76,1004.97,1004.95,1017.4,308165.0339,25.3712,1057.3366,32903.917,190177.1183,0.0005
Adult,LogReg,sex,aft,5,223410.6,2006281.6,0.111356,1.0,2034.4,107593.8,211553.2,222237.8,10.9471,10.9451,10.9399,10.9427,10.9426,10.9416,10.9407,10.9412,1200.18,1200.15,,,,,,2778.7642,2.7019,1358.1459,2593.8553,2754.1826,0.0066
Adult,LogReg,sex,expga,5,654373.2,3975377.0,0.164607,1.0,2005.0,57621.6,194437.0,332789.4,10.6536,10.6533,10.6557,10.6562,10.6573,10.6564,10.6572,10.6579,1200.08,1200.01,,,,,,2870.5645,43.4051,3983.7636,10246.7755,4044.5809,0.0387
Adult,LogReg,sex,grft,5,9843362.0,39547747.8,0.248898,1.0,741.4,13781.4,83538.8,253313.4,9.7447,9.76,9.7807,9.7855,9.771,9.7689,9.7824,9.7857,1233.5,1233.0,,,,,,868662.3232,76.7548,1686.9798,10317.7105,29940.2518,0.1475
Adult,LogReg,sex,limi,5,20041.0,440458.0,0.0455,1.0,88.0,462.0,1076.0,1824.0,6.5375,6.5171,6.4821,6.4624,6.4857,6.4803,6.4605,6.4631,342.44,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult,LogReg,sex,sg,5,305.8,6263.6,0.048822,1.0,11.6,33.2,62.2,91.6,6.0438,6.0893,6.1512,6.134,6.1344,6.1344,6.1344,6.1344,1200.1,1200.1,,,,,,381.3675,1.9494,17.4126,48.1996,47.7891,0.2829
Adult,LogReg,sex,regionft,5,5562690.2,85496254.8,0.065064,1.0,2047.8,166868.6,2391736.0,4993040.2,11.4584,11.4505,11.4503,11.45,11.4511,11.4513,11.4519,11.4514,1200.9,1200.88,71.38,71.38,1129.52,1129.5,795.0,538169.1629,0.4472,552.2801,99765.5709,439894.1784,0.0029
Adult,LogReg,race,aft,5,236430.6,1831390.6,0.129099,1.0,2035.6,87861.6,214044.2,233331.2,11.2942,11.3,11.3019,11.2937,11.2996,11.3003,11.2999,11.2994,1200.17,1200.14,,,,,,4378.4238,2.51,691.6613,3441.3498,4260.1474,0.0063
Adult,LogReg,race,expga,5,186104.8,1136571.6,0.163742,1.0,1013.6,28104.2,59979.0,83212.6,10.7286,10.7348,10.7311,10.7234,10.7269,10.7272,10.7266,10.7257,1200.08,1200.01,,,,,,16107.1806,4.6152,465.479,2182.4015,4601.9566,0.017
Adult,LogReg,race,grft,5,7401295.0,28524620.8,0.25947,1.0,646.4,8534.8,46385.8,134256.4,9.485,9.4116,9.4274,9.4113,9.3871,9.3852,9.3819,9.3935,1226.14,1225.6,,,,,,399528.1538,66.8117,925.2358,5614.4921,18560.7171,0.0789
Adult,LogReg,race,limi,5,19407.0,422141.0,0.045973,1.0,106.0,397.0,906.0,1375.0,6.4718,6.2612,6.2403,6.3783,6.3513,6.3265,6.324,6.3287,466.77,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult,LogReg,race,sg,5,624.6,7478.0,0.083525,1.0,34.8,100.8,165.2,241.4,7.129,7.117,7.1369,7.1489,7.1476,7.1476,7.1476,7.1476,1200.08,1200.07,,,,,,177.5241,8.3487,22.731,32.2754,38.5331,0.3807
Adult,LogReg,race,regionft,5,3534783.6,44938090.8,0.078659,1.0,2046.6,110608.8,1330451.6,2989030.0,11.4542,11.446,11.4491,11.4477,11.45,11.4493,11.4493,11.4492,1200.01,1200.01,90.66,90.66,1109.36,1109.35,851.4,166442.9477,0.5477,279.609,23954.8859,122206.3052,0.0041
Adult,LogReg,age,aft,5,1366681.6,1616924.8,0.845235,1.0,2048.0,104138.4,674249.8,1182340.8,11.2488,11.2454,11.242,11.2409,11.2398,11.2398,11.2424,11.2406,1201.28,1201.2,,,,,,89171.7952,0.0,2868.5694,33158.3234,44335.481,0.0169
Adult,LogReg,age,expga,5,541053.8,842077.2,0.642523,1.0,1136.2,32162.6,154139.6,360087.4,10.5318,10.5456,10.5384,10.5334,10.5328,10.5331,10.5328,10.5322,1200.06,1200.05,,,,,,4779.4919,42.044,1868.1494,4919.0873,4607.0456,0.0217
Adult,LogReg,age,grft,5,6292233.2,20915224.8,0.300845,1.0,583.0,6500.4,30182.8,91121.4,9.8791,9.8396,9.8547,9.8545,9.8429,9.8487,9.8409,9.8455,1233.74,1233.19,,,,,,1697938.4668,64.4205,1469.0724,10047.1518,29599.7242,0.3468
Adult,LogReg,age,limi,5,158401.0,318505.0,0.497327,1.0,188.0,1235.0,3388.0,7197.0,7.0209,7.0376,7.0011,6.9613,6.9649,6.9682,6.9686,6.9566,531.93,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult,LogReg,age,sg,5,4383.2,9592.4,0.456945,1.0,244.8,798.4,1204.8,1663.2,8.4163,8.3561,8.4049,8.4442,8.4249,8.4165,8.4197,8.4242,1200.06,1200.06,,,,,,55.7064,30.4171,71.9604,13.6638,24.8636,0.2488
Adult,LogReg,age,regionft,5,11598909.4,22909516.4,0.506292,1.0,2048.0,115640.6,1812129.2,7705680.8,11.4558,11.4498,11.4544,11.454,11.4539,11.4539,11.454,11.4536,1200.02,1200.01,139.2,139.19,1060.82,1060.81,904.6,353503.8798,0.0,326.7504,3910.2037,126392.0295,0.0021
Adult,DecTree,sex,aft,5,4399975.6,5417835.6,0.812128,1.0,1764.8,108706.6,1124903.6,2967494.8,10.7202,10.7084,10.7117,10.7103,10.7126,10.7126,10.7113,10.7114,1200.45,1200.42,,,,,,130020.1577,3.2711,825.7347,14529.6388,97418.8578,0.0092
