run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
grft-LogReg-Adult-sex-1200-2,Adult,LogReg,sex,grft,2,9619856,38473310,1,791,14445,85705,261925,9.8446,9.8764,9.9316,9.8807,9.8577,9.8575,9.8761,9.8827,1232.48,1231.97,,,,,
grft-LogReg-Adult-sex-1200-3,Adult,LogReg,sex,grft,3,10179394,41496385,1,701,13518,82287,249164,9.7148,9.7627,9.857,9.841,9.8324,9.8099,9.8287,9.8281,1231.68,1231.21,,,,,
grft-LogReg-Adult-sex-1200-4,Adult,LogReg,sex,grft,4,9482158,38123006,1,657,11082,66605,204416,9.4296,9.4549,9.4358,9.5314,9.5239,9.5096,9.5184,9.5278,1233.57,1233.06,,,,,
limi-LogReg-Adult-sex-1200-0,Adult,LogReg,sex,limi,0,20041,440458,1,88,462,1076,1824,6.5375,6.5171,6.4821,6.4624,6.4857,6.4803,6.4605,6.4631,327.61,,,,,,
limi-LogReg-Adult-sex-1200-1,Adult,LogReg,sex,limi,1,20041,440458,1,88,462,1076,1824,6.5375,6.5171,6.4821,6.4624,6.4857,6.4803,6.4605,6.4631,347.54,,,,,,
limi-LogReg-Adult-sex-1200-2,Adult,LogReg,sex,limi,2,20041,440458,1,88,462,1076,1824,6.5375,6.5171,6.4821,6.4624,6.4857,6.4803,6.4605,6.4631,333.8,,,,,,
limi-LogReg-Adult-sex-1200-3,Adult,LogReg,sex,limi,3,20041,440458,1,88,462,1076,1824,6.5375,6.5171,6.4821,6.4624,6.4857,6.4803,6.4605,6.4631,345.88,,,,,,
limi-LogReg-Adult-sex-1200-4,Adult,LogReg,sex,limi,4,20041,440458,1,88,462,1076,1824,6.5375,6.5171,6.4821,6.4624,6.4857,6.4803,6.4605,6.4631,357.38,,,,,,
sg-LogReg-Adult-sex-1200-0,Adult,LogReg,sex,sg,0,134,5554,1,11,24,38,69,6.2271,6.2687,6.3351,6.3351,6.3351,6.3351,6.3351,6.3351,1200.06,1200.06,,,,,
sg-LogReg-Adult-sex-1200-1,Adult,LogReg,sex,sg,1,988,8956,1,15,64,148,177,5.8842,5.8718,6.0124,5.9263,5.9287,5.9287,5.9287,5.9287,1200.12,1200.12,,,,,
sg-LogReg-Adult-sex-1200-2,Adult,LogReg,sex,sg,2,134,5581,1,11,24,38,69,6.2271,6.2687,6.3351,6.3351,6.3351,6.3351,6.3351,6.3351,1200.09,1200.09,,,,,
