run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
regionft_d6-GBDT-Credit-sex-d5000000-4,Credit,GBDT,sex,regionft_d6,4,529998,5000000,1,150843,524382,529761,529922,14.4114,14.4598,14.454,14.4412,14.4509,14.4459,14.4439,14.4432,99.0,99.0,7.22,7.21,91.79,91.78,63
regionft_d8-GBDT-Credit-sex-d5000000-0,Credit,GBDT,sex,regionft_d8,0,525043,5000000,1,148149,519450,524833,524979,14.4656,14.4192,14.4437,14.4347,14.4327,14.4325,14.4335,14.4326,109.13,109.13,17.68,17.68,91.46,91.45,178
regionft_d8-GBDT-Credit-sex-d5000000-1,Credit,GBDT,sex,regionft_d8,1,550589,5000000,1,151713,544479,550345,550523,14.4392,14.4263,14.4198,14.4232,14.4327,14.4327,14.4345,14.4326,124.51,124.51,31.41,31.41,93.1,93.1,205
regionft_d8-GBDT-Credit-sex-d5000000-2,Credit,GBDT,sex,regionft_d8,2,508927,5000000,1,151409,503772,508705,508864,14.4233,14.453,14.436,14.4309,14.4429,14.4432,14.4389,14.4393,114.98,114.98,22.87,22.87,92.11,92.11,221
regionft_d8-GBDT-Credit-sex-d5000000-3,Credit,GBDT,sex,regionft_d8,3,528256,5000000,1,150520,522370,528041,528181,14.456,14.4363,14.4387,14.4283,14.4383,14.4339,14.4337,14.4341,125.15,125.15,32.44,32.44,92.71,92.71,210
regionft_d8-GBDT-Credit-sex-d5000000-4,Credit,GBDT,sex,regionft_d8,4,575467,5000000,1,151299,568690,575188,575398,14.4611,14.4098,14.4204,14.4309,14.4332,14.4345,14.431,14.4357,115.71,115.7,23.59,23.59,92.12,92.11,234
regionft_d10-LogReg-Lsac-race-d5000000-0,Lsac,LogReg,race,regionft_d10,0,860051,5000000,1,951,15277,99347,351946,9.5326,9.5368,9.5396,9.5399,9.539,9.5399,9.54,9.5397,206.98,206.98,122.94,122.94,84.03,84.03,980
regionft_d10-LogReg-Lsac-race-d5000000-1,Lsac,LogReg,race,regionft_d10,1,731670,5000000,1,953,15126,99067,329567,9.5406,9.538,9.5367,9.5401,9.54,9.5409,9.5407,9.5403,201.29,201.28,116.87,116.86,84.42,84.42,983
regionft_d10-LogReg-Lsac-race-d5000000-2,Lsac,LogReg,race,regionft_d10,2,856653,5000000,1,946,15134,99401,351356,9.5572,9.5417,9.5438,9.5398,9.5399,9.5398,9.54,9.5403,202.27,202.27,117.96,117.96,84.31,84.31,953
regionft_d10-LogReg-Lsac-race-d5000000-3,Lsac,LogReg,race,regionft_d10,3,856238,5000000,1,953,15197,100206,352900,9.4989,9.5331,9.536,9.5405,9.5407,9.5404,9.5407,9.5407,198.88,198.87,113.25,113.24,85.63,85.63,934
regionft_d10-LogReg-Lsac-race-d5000000-4,Lsac,LogReg,race,regionft_d10,4,786882,5000000,1,949,15065,99152,336936,9.5531,9.5368,9.5393,9.5386,9.5386,9.5406,9.5402,9.5398,201.11,201.11,119.04,119.04,82.06,82.06,958
regionft_d12-LogReg-Lsac-race-d5000000-0,Lsac,LogReg,race,regionft_d12,0,1049046,5000000,1,952,15364,102019,376821,9.5412,9.5403,9.541,9.541,9.54,9.5398,9.5393,9.5391,507.78,507.78,417.16,417.15,90.63,90.63,3718
regionft_d12-LogReg-Lsac-race-d5000000-1,Lsac,LogReg,race,regionft_d12,1,911476,5000000,1,951,15225,101636,357528,9.5376,9.551,9.5395,9.5408,9.5409,9.5408,9.5409,9.5407,493.37,493.36,401.12,401.12,92.24,92.24,3793
regionft_d12-LogReg-Lsac-race-d5000000-2,Lsac,LogReg,race,regionft_d12,2,1045351,5000000,1,948,15308,101436,375781,9.5238,9.5378,9.5401,9.5373,9.5395,9.5396,9.54,9.5401,491.94,491.94,404.64,404.63,87.31,87.31,3624
regionft_d12-LogReg-Lsac-race-d5000000-3,Lsac,LogReg,race,regionft_d12,3,1032227,5000000,1,947,15304,101833,373874,9.5368,9.5408,9.5474,9.5421,9.5403,9.5412,9.5408,9.5407,478.35,478.34,387.86,387.84,90.5,90.5,3567
regionft_d12-LogReg-Lsac-race-d5000000-4,Lsac,LogReg,race,regionft_d12,4,945307,5000000,1,949,15251,100824,357421,9.5443,9.5318,9.5354,9.5403,9.5401,9.541,9.5406,9.5407,495.67,495.66,409.5,409.5,86.16,86.16,3667
regionft_d2-LogReg-Lsac-race-d5000000-0,Lsac,LogReg,race,regionft_d2,0,353296,5000000,1,942,14711,84629,228533,9.5158,9.5358,9.5334,9.5321,9.5329,9.5333,9.5327,9.533,88.82,88.82,2.29,2.29,86.53,86.53,4
