region_id,parent_id,depth,size,target_samples,actual_samples,violations,estimated_ratio,gini,best_attr,best_cut,best_gain,gini_weight_mode,max_split_ratio,sampler_weight,sampler_probability,sampling_risk_focus_alpha,sampling_risk_floor,partition_sample_mode,sampler_used_fallback,sampler_draws,sampler_violations,partition_tests_total,partition_violations_total,sampler_tests_total,sampler_violations_total,bounds,split_history,batch_size
1446,749,10,519768480000,1017,1017,180,0.17699115044247787,0.29133056621505204,,,0.0,sample,1.0,91994421238.93805,0.0008543110144631004,1.0,1e-05,fresh_region,0,2869,525,1694903,119260,3309056,449557,3:9;0:6;0:74;0:1;0:6;0:13;2:5;0:4;0:1;0:3;24:33;36:46;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 > 1|x9 <= 3|x11 <= 46|x10 <= 33|x0 > 2|x3 <= 1|x11 > 35,512
1447,750,10,6520731840000,1058,1058,93,0.08790170132325142,0.16034998445545864,,,0.0,sample,1.0,573183422608.6957,0.005322897895845487,1.0,1e-05,fresh_region,0,17490,1507,1694903,119260,3309056,449557,3:5;0:6;0:74;2:15;0:6;0:13;2:5;0:4;0:1;0:3;24:33;1:46;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 > 1|x9 <= 3|x11 <= 46|x10 <= 33|x0 > 2|x3 > 1|x0 <= 5,512
1448,750,10,8694309120000,1067,1067,93,0.08716026241799438,0.15912670214644148,,,0.0,sample,1.0,757798264442.3618,0.00703733330059922,1.0,1e-05,fresh_region,0,23395,2115,1694903,119260,3309056,449557,6:9;0:6;0:74;2:15;0:6;0:13;2:5;0:4;0:1;0:3;24:33;1:46;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 > 1|x9 <= 3|x11 <= 46|x10 <= 33|x0 > 2|x3 > 1|x0 > 5,512
1449,751,10,12285436800000,1079,1079,16,0.014828544949026877,0.029217318407443134,,,0.0,sample,1.0,182175151807.2289,0.0016917790954537628,1.0,1e-05,fresh_region,0,5680,69,1694903,119260,3309056,449557,2:9;0:6;0:74;0:12;0:6;0:13;2:5;0:4;0:1;0:3;34:43;1:35;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 > 1|x9 <= 3|x11 <= 46|x10 > 33|x3 <= 12|x11 <= 45|x11 <= 35,512
1450,751,10,3510124800000,1043,1043,30,0.028763183125599234,0.05587172484416496,,,0.0,sample,1.0,100962362416.10739,0.0009375922702341855,1.0,1e-05,fresh_region,0,3112,120,1694903,119260,3309056,449557,2:9;0:6;0:74;0:12;0:6;0:13;2:5;0:4;0:1;0:3;34:43;36:45;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 > 1|x9 <= 3|x11 <= 46|x10 > 33|x3 <= 12|x11 <= 45|x11 > 35,512
1451,752,10,300867840000,1013,1013,65,0.06416584402764067,0.12009717697572231,,,0.0,sample,1.0,19305438894.373146,0.0001792809701326374,1.0,1e-05,fresh_region,0,599,47,1694903,119260,3309056,449557,2:9;0:6;0:74;0:12;0:5;0:13;2:5;0:4;0:1;0:3;34:43;46:46;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 > 1|x9 <= 3|x11 <= 46|x10 > 33|x3 <= 12|x11 > 45|x4 <= 5,512
1452,752,10,50144640000,1006,1006,139,0.13817097415506957,0.2381595121122173,,,0.0,sample,1.0,6928533757.455268,6.434219187813192e-05,1.0,1e-05,fresh_region,0,219,22,1694903,119260,3309056,449557,2:9;0:6;0:74;0:12;6:6;0:13;2:5;0:4;0:1;0:3;34:43;46:46;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 > 1|x9 <= 3|x11 <= 46|x10 > 33|x3 <= 12|x11 > 45|x4 > 5,512
1453,753,10,918032640000,1022,1022,147,0.14383561643835616,0.24629386376430848,,,0.0,sample,1.0,132045790684.9315,0.0012262501560027018,1.0,1e-05,fresh_region,0,4048,516,1694903,119260,3309056,449557,2:9;0:6;0:74;13:13;0:6;0:13;2:5;0:4;0:1;0:3;34:43;1:34;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 > 1|x9 <= 3|x11 <= 46|x10 > 33|x3 > 12|x11 <= 34|x3 <= 13,512
1454,753,10,1836065280000,1031,1031,66,0.06401551891367604,0.11983506450377765,,,0.0,sample,1.0,117536671658.58391,0.0010915104617100397,1.0,1e-05,fresh_region,0,3675,274,1694903,119260,3309056,449557,2:9;0:6;0:74;14:15;0:6;0:13;2:5;0:4;0:1;0:3;34:43;1:34;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 > 1|x9 <= 3|x11 <= 46|x10 > 33|x3 > 12|x11 <= 34|x3 > 13,512
1455,754,10,324011520000,1013,1013,45,0.044422507403751234,0.0848982964794298,,,0.0,sample,1.0,14393404146.10069,0.00013366510199238057,1.0,1e-05,fresh_region,0,427,10,1694903,119260,3309056,449557,2:9;0:6;0:74;13:13;0:6;0:13;2:5;0:4;0:1;0:3;34:43;35:46;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 > 1|x9 <= 3|x11 <= 46|x10 > 33|x3 > 12|x11 > 34|x3 <= 13,512
